Team,Match Played,Players,Batsman Runs,Balls,Fours,Sixes,Strike Rate,Over,Bowler Balls,Maiden,Bowler Runs,Wickets,Economy Rate,Catches,Run Out,50s,100s,Vs,Times Out
Royal Challengers Banglore,1,Devdutt Padikkal,25,28,2,0,89.29,0,0,0,0,0,0.0,1,0,0,0,KKR,Yes
Royal Challengers Banglore,1,Virat Kohli,5,6,1,0,83.33,0,0,0,0,0,0.0,1,0,0,0,KKR,Yes
Royal Challengers Banglore,1,Rajat Patidar,1,2,0,0,50.00,0,0,0,0,0,0.0,0,0,0,0,KKR,Yes
Royal Challengers Banglore,1,Glenn Maxwell,78,49,9,3,159.18,2,12,0,24,0,12.0,0,0,1,0,KKR,Yes
Royal Challengers Banglore,1,AB de Villiers,76,34,9,3,223.53,0,0,0,0,0,0.0,1,0,1,0,KKR,No
Royal Challengers Banglore,1,Kyle Jamieson,11,4,1,1,275.00,3,18,0,41,3,13.7,0,0,0,0,KKR,No
Royal Challengers Banglore,1,Washington Sundar,0,0,0,0,0.00,4,24,0,33,1,8.3,0,0,0,0,KKR,No
Royal Challengers Banglore,1,Shahbaz Ahmed,0,0,0,0,0.00,0,0,0,0,0,0.0,0,0,0,0,KKR,No
Royal Challengers Banglore,1,Harshal Patel,0,0,0,0,0.00,4,24,0,17,2,4.3,0,0,0,0,KKR,No
Royal Challengers Banglore,1,Mohammed Siraj,0,0,0,0,0.00,3,18,0,17,0,0.0,1,0,0,0,KKR,No
Royal Challengers Banglore,1,Yuzvendra Chahal,0,0,0,0,0.00,4,24,0,34,2,8.5,0,0,0,0,KKR,No
Royal Challengers Banglore,0,Daniel Christian,0,0,0,0,0.00,0,0,0,0,0,0.0,1,0,0,0,KKR,No
Kolkata Knight Riders,1,Nitish Rana,18,11,2,1,163.64,0,0,0,0,0,0,0,0,0,0,RCB,Yes
Kolkata Knight Riders,1,Shubman Gill,21,9,2,2,233.33,0,0,0,0,0,0,0,0,0,0,RCB,Yes
Kolkata Knight Riders,1,Rahul Tripathi,25,20,5,0,125.00,0,0,0,0,0,0,2,0,0,0,RCB,Yes
Kolkata Knight Riders,1,Andre Russell,31,20,3,2,155.00,2,12,0,38,0,19,0,0,0,0,RCB,Yes
Kolkata Knight Riders,1,Eoin Morgan,29,23,1,2,126.09,0,0,0,0,0,0,0,0,0,0,RCB,Yes
Kolkata Knight Riders,1,Dinesh Karthik,2,5,0,0,40.00,0,0,0,0,0,0,0,0,0,0,RCB,Yes
Kolkata Knight Riders,1,Shakib Al Hasan,26,25,1,1,104.00,2,12,0,24,0,12,0,0,0,0,RCB,Yes
Kolkata Knight Riders,1,Pat Cummins,6,2,0,1,300.00,4,24,0,34,1,8.5,0,0,0,0,RCB,Yes
Kolkata Knight Riders,1,Harbhajan Singh,2,2,0,0,100.00,4,24,0,38,0,9.5,1,0,0,0,RCB,No
Kolkata Knight Riders,1,Prasidh Krishna,0,0,0,0,0.00,4,24,0,31,1,7.75,0,0,0,0,RCB,No
Kolkata Knight Riders,1,Varun Chakravarthy,2,3,0,0,66.67,4,24,0,39,2,9.75,0,0,0,0,RCB,No
