Team,Match Played,Players,Batsman Runs,Balls,Fours,Sixes,Strike Rate,Over,Bowler Balls,Maiden,Bowler Runs,Wickets,Economy Rate,Catches,Run Out,50s,100s,Vs,Times Out
Punjab Kings,1,KL Rahul,61,51,7,2,119.61,0,0,0,0,0,0.00,0,0,1,0,DC,Yes
Punjab Kings,1,Mayank Agarwal,69,36,7,4,191.67,0,0,0,0,0,0.00,0,0,1,0,DC,Yes
Punjab Kings,1,Chris Gayle,11,9,0,1,122.22,0,0,0,0,0,0.00,1,0,0,0,DC,Yes
Punjab Kings,1,Deepak Hooda,22,13,0,2,169.23,2,12,0,18,0,9.00,1,0,0,0,DC,No
Punjab Kings,1,Nicholas Pooran,9,8,1,0,112.50,0,0,0,0,0,0.00,0,0,0,0,DC,Yes
Punjab Kings,1,Shahrukh Khan,15,5,2,1,300.00,0,0,0,0,0,0.00,0,0,0,0,DC,No
Punjab Kings,1,Jhye Richardson,0,0,0,0,0.00,4,24,0,41,2,10.25,1,0,0,0,DC,No
Punjab Kings,1,Jalaj Saxena,0,0,0,0,0.00,3,18,0,27,0,9.00,0,0,0,0,DC,No
Punjab Kings,1,Riley Meredith,0,0,0,0,0.00,2.2,14,0,35,1,15.91,0,0,0,0,DC,No
Punjab Kings,1,Mohammed Shami,0,0,0,0,0.00,4,24,0,53,0,13.25,0,0,0,0,DC,No
Punjab Kings,1,Arshdeep Singh,0,0,0,0,0.00,3,18,0,22,1,7.33,0,0,0,0,DC,No
Delhi Capitals,1,Prithvi Shaw,32,17,3,2,188.24,0,0,0,0,0,0.00,0,0,0,0,PBKS,Yes
Delhi Capitals,1,Shikhar Dhawan,92,49,13,2,187.76,0,0,0,0,0,0.00,1,0,1,0,PBKS,Yes
Delhi Capitals,1,Steven Smith,9,12,0,0,75.00,0,0,0,0,0,0.00,0,0,0,0,PBKS,Yes
Delhi Capitals,1,Rishabh Pant,15,16,0,1,93.75,0,0,0,0,0,0.00,0,0,0,0,PBKS,Yes
Delhi Capitals,1,Marcus Stoinis,27,13,3,1,207.69,0,0,0,0,0,0.00,1,0,0,0,PBKS,No
Delhi Capitals,1,Lalit Yadav,12,6,2,0,200.00,1,6,0,11,0,11.00,0,0,0,0,PBKS,No
Delhi Capitals,1,Chris Woakes,0,0,0,0,0.00,4,24,0,42,1,10.50,0,0,0,0,PBKS,No
Delhi Capitals,1,Ravi Ashwin,0,0,0,0,0.00,4,24,0,28,0,7.00,0,0,0,0,PBKS,No
Delhi Capitals,1,Lukman Meriwala,0,0,0,0,0.00,3,18,0,32,1,10.67,0,0,0,0,PBKS,No
Delhi Capitals,1,Kagiso Rabada,0,0,0,0,0.00,4,24,0,43,1,10.75,1,0,0,0,PBKS,No
Delhi Capitals,1,Avesh Khan,0,0,0,0,0.00,4,24,0,33,1,8.25,0,0,0,0,PBKS,No
Delhi Capitals,1,Ripal Patel,0,0,0,0,0.00,0,0,0,0,0,0.00,1,0,0,0,PBKS,No
