Team,Match Played,Players,Batsman Runs,Balls,Fours,Sixes,Strike Rate,Over,Bowler Balls,Maiden,Bowler Runs,Wickets,Economy Rate,Catches,Run Out,50s,100s,Vs,Times Out
Chennai Super Kings,1,Rituraj Gaikwad,10,13,1,0,76.92,0,0,0,0,0,0.00,1,0,0,0,RR,Yes
Chennai Super Kings,1,du Plessis,33,17,4,2,194.12,0,0,0,0,0,0.00,0,0,0,0,RR,Yes
Chennai Super Kings,1,Moeen Ali,26,20,1,2,130.00,3,18,0,7,3,2.33,0,0,0,0,RR,Yes
Chennai Super Kings,1,Suresh Raina,18,15,1,1,120.00,0,0,0,0,0,0.00,0,0,0,0,RR,Yes
Chennai Super Kings,1,Ambati Rayudu,27,17,0,3,158.82,0,0,0,0,0,0.00,0,0,0,0,RR,Yes
Chennai Super Kings,1,Ravindra Jadeja,8,7,1,0,114.29,4,24,0,28,2,7.00,4,0,0,0,RR,Yes
Chennai Super Kings,1,Dhoni,18,17,2,0,105.88,0,0,0,0,0,0.00,0,0,0,0,RR,Yes
Chennai Super Kings,1,Sam Curran,13,6,2,1,216.67,4,24,0,24,2,6.00,0,0,0,0,RR,Yes
Chennai Super Kings,1,DJ Bravo,20,8,2,1,250.00,3,18,0,28,1,9.33,1,0,0,0,RR,No
Chennai Super Kings,1,Shardul Thakur,1,1,0,0,100.00,3,18,0,20,1,6.67,0,0,0,0,RR,Yes
Chennai Super Kings,1,Deepak Chahar,0,0,0,0,0.00,3,18,0,32,0,10.67,0,0,0,0,RR,No
Rajasthan Royals,1,Jos Butler,49,35,5,2,140.00,0,0,0,0,0,0.00,1,0,0,0,CSK,Yes
Rajasthan Royals,1,Manan Vohra,14,11,1,1,127.27,0,0,0,0,0,0.00,0,0,0,0,CSK,Yes
Rajasthan Royals,1,Sanju Samson,1,5,0,0,20.00,0,0,0,0,0,0.00,1,1,0,0,CSK,Yes
Rajasthan Royals,1,David Miller,2,5,0,0,40.00,0,0,0,0,0,0.00,0,0,0,0,CSK,Yes
Rajasthan Royals,1,Shivam Dube,17,20,2,0,85.00,0,0,0,0,0,0.00,1,0,0,0,CSK,Yes
Rajasthan Royals,1,Riyan Parag,3,7,0,0,42.86,1,6,0,16,0,16.00,3,0,0,0,CSK,Yes
Rajasthan Royals,1,Rahul Tewatia,20,15,0,2,133.33,3,18,0,21,1,7.00,0,0,0,0,CSK,Yes
Rajasthan Royals,1,Chris Morris,0,2,0,0,0.00,4,24,0,33,2,8.25,1,0,0,0,CSK,Yes
Rajasthan Royals,1,Jaydev Unadkat,24,17,2,1,141.18,4,24,0,40,0,10.00,0,0,0,0,CSK,Yes
Rajasthan Royals,1,Chetan Sakariya,0,0,0,0,0.00,4,24,0,36,3,9.00,0,0,0,0,CSK,No
Rajasthan Royals,1,Mustafizur Rahman,0,4,0,0,0.00,4,24,0,37,1,9.25,0,1,0,0,CSK,No
