Team,Match Played,Players,Batsman Runs,Balls,Fours,Sixes,Strike Rate,Over,Bowler Balls,Maiden,Bowler Runs,Wickets,Economy Rate,Catches,Run Out,50s,100s,Vs,Times Out
Mumbai Indians,1,Rohit Sharma,44,30,3,3,146.7,0,0,0,0,0,0.00,0,0,0,0,DC,Yes
Mumbai Indians,1,Quinton de Kock,2,4,0,0,50.0,0,0,0,0,0,0.00,0,0,0,0,DC,Yes
Mumbai Indians,1,Suryakumar Yadav,24,15,4,0,160.0,0,0,0,0,0,0.00,0,0,0,0,DC,Yes
Mumbai Indians,1,Ishan Kishan,26,28,1,1,92.9,0,0,0,0,0,0.00,0,0,0,0,DC,Yes
Mumbai Indians,1,Hardik Pandya,0,1,0,0,0.0,0,0,0,0,0,0.00,0,0,0,0,DC,Yes
Mumbai Indians,1,Kieron Pollard,2,5,0,0,40.0,1.1,7,0,9,1,7.70,0,0,0,0,DC,Yes
Mumbai Indians,1,Krunal Pandya,1,5,0,0,20.0,2,12,0,17,0,8.50,2,0,0,0,DC,Yes
Mumbai Indians,1,Jayant Yadav,23,22,1,0,104.5,4,24,0,25,1,6.25,1,0,0,0,DC,Yes
Mumbai Indians,1,Rahul Chahar,6,6,1,0,100.0,4,24,0,29,1,7.25,0,0,0,0,DC,Yes
Mumbai Indians,1,Jasprit Bumrah,3,3,0,0,100.0,4,24,0,32,1,8.00,0,0,0,0,DC,No
Mumbai Indians,1,Trent Boult,1,1,0,0,100.0,4,24,0,23,0,5.75,0,0,0,0,DC,No
Delhi Capitals,1,Prithvi Shaw,7,5,1,0,140.0,0,0,0,0,0,0.00,0,0,0,0,MI,Yes
Delhi Capitals,1,Shikhar Dhawan,45,42,5,1,107.1,0,0,0,0,0,0.00,0,0,0,0,MI,Yes
Delhi Capitals,1,Steven Smith,33,29,4,0,113.8,0,0,0,0,0,0.00,2,0,0,0,MI,Yes
Delhi Capitals,1,Rishabh Pant,7,8,1,0,87.5,0,0,0,0,0,0.00,3,0,0,0,MI,Yes
Delhi Capitals,1,Shimron Hetmyer,14,9,2,0,155.6,0,0,0,0,0,0.00,0,0,0,0,MI,No
Delhi Capitals,1,Lalit Yadav,22,25,1,0,88.0,4,24,0,17,1,4.25,0,0,0,0,MI,No
Delhi Capitals,1,Marcus Stoinis,0,0,0,0,0.0,3,18,0,20,1,6.67,0,0,0,0,MI,No
Delhi Capitals,1,Ravi Ashwin,0,0,0,0,0.0,4,24,0,31,0,7.75,0,0,0,0,MI,No
Delhi Capitals,1,Amit Mishra,0,0,0,0,0.0,4,24,0,24,4,6.00,0,0,0,0,MI,No
Delhi Capitals,1,Kagiso Rabada,0,0,0,0,0.0,3,18,0,25,1,8.33,1,0,0,0,MI,No
Delhi Capitals,1,Avesh Khan,0,0,0,0,0.0,2,12,0,15,2,7.50,0,0,0,0,MI,No
