Team,Match Played,Players,Batsman Runs,Balls,Fours,Sixes,Strike Rate,Over,Bowler Balls,Maiden,Bowler Runs,Wickets,Economy Rate,Catches,Run Out,50s,100s,Vs,Times Out
Punjab Kings,1,KL Rahul,4,6,0,0,66.67,0,0,0,0,0,0,0,0,0,0,SRH,Yes
Punjab Kings,1,Mayank Agarwal,22,25,2,0,88,0,0,0,0,0,0,1,0,0,0,SRH,Yes
Punjab Kings,1,Chris Gayle,15,17,2,0,88.24,0,0,0,0,,0,0,0,0,0,SRH,Yes
Punjab Kings,1,Deepak Hooda,13,11,2,0,118.18,4,24,0,22,0,5.5,0,0,0,0,SRH,Yes
Punjab Kings,1,Nicholas Pooran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SRH,Yes
Punjab Kings,1,Moises Henriques,14,17,0,0,82.35,1,6,0,7,0,7,0,0,0,0,SRH,Yes
Punjab Kings,1,Shahrukh Khan,22,17,0,2,129.41,0,0,0,0,0,0,0,0,0,0,SRH,Yes
Punjab Kings,1,Fabian Allen,6,11,0,0,54.55,4,24,1,22,1,5.5,0,0,0,0,SRH,Yes
Punjab Kings,1,Murgan Ashwin,9,10,1,0,90,4,24,0,22,0,5.5,0,0,0,0,SRH,Yes
Punjab Kings,1,Mohammed Shami,3,3,0,0,100,2,12,0,16,0,8,0,0,0,0,SRH,Yes
Punjab Kings,1,Arshdeep Singh,1,2,0,0,50,3.4,22,0,31,0,8.5,0,0,0,0,SRH,Yes
Sunrisers Hyderabad,1,Jonny Bairstow,63,56,3,3,112.5,0,0,0,0,0,0,1,1,1,0,PBKS,No
Sunrisers Hyderabad,1,David Warner,37,37,3,1,100,0,0,0,0,0,0,1,1,0,0,PBKS,Yes
Sunrisers Hyderabad,1,Kane Williamson,16,19,0,0,84.21,0,0,0,0,0,0,0,0,0,0,PBKS,No
Sunrisers Hyderabad,1,Virat Singh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PBKS,No
Sunrisers Hyderabad,1,Vijay Shankar,0,0,0,0,0,1,6,0,6,0,6,0,1,0,0,PBKS,No
Sunrisers Hyderabad,1,Abhishek Sharma,0,0,0,0,0,4,24,0,24,2,6,1,0,0,0,PBKS,No
Sunrisers Hyderabad,1,Kedar Jadhav,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,PBKS,No
Sunrisers Hyderabad,1,Rashid Khan,0,0,0,0,0,4,24,0,17,1,4.25,1,0,0,0,PBKS,No
Sunrisers Hyderabad,1,Bhuvneshwar Kumar,0,0,0,0,0,3,18,0,16,1,5.33,0,0,0,0,PBKS,No
Sunrisers Hyderabad,1,Siddarth Kaul,0,0,0,0,0,3.4,22,0,27,1,7.94,0,0,0,0,PBKS,No
Sunrisers Hyderabad,1,Khaleel Ahmed,0,0,0,0,0,4,24,0,21,3,5.25,0,0,0,0,PBKS,No
