Team,Match Played,Players,Batsman Runs,Balls,Fours,Sixes,Strike Rate,Over,Bowler Balls,Maiden,Bowler Runs,Wickets,Economy Rate,Catches,Run Out,50s,100s,Vs,Times Out
Chennai Super Kings,1,Rituraj Gaikwad,64,42,6,4,152.38,0,0,0,0,0,0,0,0,1,0,KKR,Yes
Chennai Super Kings,1,du Plessis,95,60,9,4,158.33,0,0,0,0,0,0,1,0,1,0,KKR,No
Chennai Super Kings,1,Moeen Ali,25,12,2,2,208.33,0,0,0,0,0,0,0,0,0,0,KKR,Yes
Chennai Super Kings,1,Suresh Raina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KKR,No
Chennai Super Kings,1,Ambati Rayudu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KKR,No
Chennai Super Kings,1,Ravindra Jadeja,6,1,0,1,600,4,24,0,33,0,8.3,1,0,0,0,KKR,No
Chennai Super Kings,1,Dhoni,17,8,2,1,212.5,0,0,0,0,0,0,3,0,0,0,KKR,Yes
Chennai Super Kings,1,Sam Curran,0,0,0,0,0,4,24,0,58,1,14.5,1,0,0,0,KKR,No
Chennai Super Kings,1,Lungi Ngidi,0,0,0,0,0,4,24,0,28,3,7,1,0,0,0,KKR,No
Chennai Super Kings,1,Shardul Thakur,0,0,0,0,0,3.1,19,0,48,0,15.2,1,0,0,0,KKR,No
Chennai Super Kings,1,Deepak Chahar,0,0,0,0,0,4,24,0,29,4,7.3,0,0,0,0,KKR,No
Kolkata Knight Riders,1,Nitish Rana,9,12,2,0,75,0,0,0,0,0,0,0,0,0,0,CSK,Yes
Kolkata Knight Riders,1,Shubman Gill,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CSK,Yes
Kolkata Knight Riders,1,Rahul Tripathi,8,9,1,0,88.89,0,0,0,0,0,0,0,0,0,0,CSK,Yes
Kolkata Knight Riders,1,Eoin Morgan,7,7,1,0,100,0,0,0,0,0,0,1,0,0,0,CSK,Yes
Kolkata Knight Riders,1,Sunil Narine,4,3,1,0,133.33,4,24,0,34,1,8.5,0,0,0,0,CSK,Yes
Kolkata Knight Riders,1,Dinesh Karthik,40,24,4,2,166.67,0,0,0,0,0,0,0,1,0,0,CSK,Yes
Kolkata Knight Riders,1,Andre Russell,54,22,3,6,245.45,2,12,0,27,1,13.5,0,0,1,0,CSK,Yes
Kolkata Knight Riders,1,Pat Cummins,66,34,4,6,194.12,4,24,0,58,0,14.5,1,0,1,0,CSK,No
Kolkata Knight Riders,1,Kamlesh Nagarkoti,0,2,0,0,0,2,12,0,25,0,12.5,0,0,0,0,CSK,Yes
Kolkata Knight Riders,1,Prasidh Krishna,0,1,0,0,0,4,24,0,49,0,12.25,0,0,0,0,CSK,Yes
Kolkata Knight Riders,1,Varun Chakravarthy,0,1,0,0,0,4,24,0,27,1,6.75,0,0,0,0,CSK,Yes
