Team,Match Played,Players,Batsman Runs,Balls,Fours,Sixes,Strike Rate,Over,Bowler Balls,Maiden,Bowler Runs,Wickets,Economy Rate,Catches,Run Out,50s,100s,Vs,Times Out
Rajasthan Royals,1,Jos Butler,8,8,2,0,100.00,0,0,0,0,0,0.00,0,0,0,0,RCB,Yes
Rajasthan Royals,1,Manan Vohra,7,9,1,0,77.78,0,0,0,0,0,0.00,0,0,0,0,RCB,Yes
Rajasthan Royals,1,Sanju Samson,21,18,2,1,116.67,0,0,0,0,0,0.00,0,0,0,0,RCB,Yes
Rajasthan Royals,1,David Miller,0,2,0,0,0.00,0,0,0,0,0,0.00,0,0,0,0,RCB,Yes
Rajasthan Royals,1,Shivam Dube,46,32,5,2,143.75,0,0,0,0,0,0.00,0,0,0,0,RCB,Yes
Rajasthan Royals,1,Riyan Parag,25,16,4,0,156.25,1,6,0,14,0,14.00,0,0,0,0,RCB,Yes
Rajasthan Royals,1,Rahul Tewatia,40,23,4,2,173.91,2,12,0,23,0,11.50,0,0,0,0,RCB,Yes
Rajasthan Royals,1,Chris Morris,10,7,0,1,142.86,3,18,0,38,0,12.67,0,0,0,0,RCB,Yes
Rajasthan Royals,1,Shreyas Gopal,7,4,0,1,175.00,3,18,0,35,0,11.67,0,0,0,0,RCB,No
Rajasthan Royals,1,Chetan Sakariya,0,1,0,0,0.00,4,24,0,35,0,8.75,0,0,0,0,RCB,Yes
Rajasthan Royals,1,Mustafizur Rahman,0,0,0,0,0.00,3.3,21,0,34,0,9.70,0,0,0,0,RCB,No
Royal Challengers Banglore,1,Devdutt Padikkal,101,52,11,6,194.23,0,0,0,0,0,0.00,0,0,0,1,RR,No
Royal Challengers Banglore,1,Virat Kohli,72,47,6,3,153.19,0,0,0,0,0,0.00,0,0,1,0,RR,No
Royal Challengers Banglore,1,Kane Richardson,0,0,0,0,0.00,3,18,0,29,1,9.67,1,0,0,0,RR,No
Royal Challengers Banglore,1,Glenn Maxwell,0,0,0,0,0.00,0,0,0,0,0,0.00,2,0,0,0,RR,No
Royal Challengers Banglore,1,AB de Villiers,0,0,0,0,0.00,0,0,0,0,0,0.00,1,0,0,0,RR,No
Royal Challengers Banglore,1,Kyle Jamieson,0,0,0,0,0.00,4,24,0,28,1,7.00,0,0,0,0,RR,No
Royal Challengers Banglore,1,Washington Sundar,0,0,0,0,0.00,3,18,0,23,1,7.67,0,0,0,0,RR,No
Royal Challengers Banglore,1,Shahbaz Ahmed,0,0,0,0,0.00,0,0,0,0,0,0.00,1,0,0,0,RR,No
Royal Challengers Banglore,1,Harshal Patel,0,0,0,0,0.00,4,24,0,47,3,11.75,0,0,0,0,RR,No
Royal Challengers Banglore,1,Mohammed Siraj,0,0,0,0,0.00,4,24,0,27,3,6.75,0,0,0,0,RR,No
Royal Challengers Banglore,1,Yuzvendra Chahal,0,0,0,0,0.00,2,12,0,18,0,9.00,2,0,0,0,RR,No
