Team,Match Played,Players,Batsman Runs,Balls,Fours,Sixes,Strike Rate,Over,Bowler Balls,Maiden,Bowler Runs,Wickets,Economy Rate,Catches,Run Out,50s,100s,Vs,Times Out
Mumbai Indians,1,Rohit Sharma,63,52,5,2,121.15,0,0,0,0,0,0,0,0,1,0,PBKS,Yes
Mumbai Indians,1,Quinton de Kock,3,5,0,0,60,0,0,0,0,0,0,0,0,0,0,PBKS,Yes
Mumbai Indians,1,Suryakumar Yadav,33,27,3,1,122.22,0,0,0,0,0,0,1,0,0,0,PBKS,Yes
Mumbai Indians,1,Ishan Kishan,6,17,0,0,35.29,0,0,0,0,0,0,0,0,0,0,PBKS,Yes
Mumbai Indians,1,Hardik Pandya,1,4,0,0,25,0,0,0,0,0,0,0,0,0,0,PBKS,Yes
Mumbai Indians,1,Kieron Pollard,16,12,0,1,133.33,1,6,0,11,0,11,0,0,0,0,PBKS,No
Mumbai Indians,1,Krunal Pandya,3,3,0,0,100,3,18,0,31,0,10.33,0,0,0,0,PBKS,Yes
Mumbai Indians,1,Jayant Yadav,0,0,0,0,0,4,24,0,20,0,5,0,0,0,0,PBKS,No
Mumbai Indians,1,Rahul Chahar,0,0,0,0,0,4,24,0,19,1,4.75,0,0,0,0,PBKS,No
Mumbai Indians,1,Jasprit Bumrah,0,0,0,0,0,3,18,0,21,0,7,0,0,0,0,PBKS,No
Mumbai Indians,1,Trent Boult,0,0,0,0,0,2.4,16,0,30,0,11.2,0,0,0,0,PBKS,No
Punjab Kings,1,KL Rahul,60,52,3,3,115.38,0,0,0,0,0,0,1,0,1,0,MI,No
Punjab Kings,1,Mayank Agarwal,25,20,4,1,125,0,0,0,0,0,0,0,0,0,0,MI,Yes
Punjab Kings,1,Chris Gayle,43,35,5,2,122.86,0,0,0,0,0,0,1,0,0,0,MI,No
Punjab Kings,1,Deepak Hooda,0,0,0,0,0,3,18,0,15,1,5,1,0,0,0,MI,No
Punjab Kings,1,Nicholas Pooran,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,MI,No
Punjab Kings,1,Moises Henriques,0,0,0,0,0,3,18,0,12,0,4,1,0,0,0,MI,No
Punjab Kings,1,Shahrukh Khan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MI,No
Punjab Kings,1,Fabian Allen,0,0,0,0,0,3,18,0,30,0,10,1,0,0,0,MI,No
Punjab Kings,1,Ravi Bishoni,0,0,0,0,0,4,24,0,21,2,5.25,0,0,0,0,MI,No
Punjab Kings,1,Mohammed Shami,0,0,0,0,0,4,24,0,21,2,5.25,0,0,0,0,MI,No
Punjab Kings,1,Arshdeep Singh,0,0,0,0,0,3,18,0,28,1,9.33,0,0,0,0,MI,No
