Team,Match Played,Players,Batsman Runs,Balls,Fours,Sixes,Strike Rate,Over,Bowler Balls,Maiden,Bowler Runs,Wickets,Economy Rate,Catches,Run Out,50s,100s,Vs,Times Out
Kolkata Knight Riders,1,Nitish Rana,22,25,1,1,88,0,0,0,0,0,0,0,0,0,0,RR,Yes
Kolkata Knight Riders,1,Shubman Gill,11,19,1,0,57.89,0,0,0,0,0,0,0,0,0,0,RR,Yes
Kolkata Knight Riders,1,Rahul Tripathi,36,26,1,2,138.46,0,0,0,0,0,0,0,0,0,0,RR,Yes
Kolkata Knight Riders,1,Eoin Morgan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RR,Yes
Kolkata Knight Riders,1,Sunil Narine,6,7,1,0,85.71,4,24,0,20,0,5,0,0,0,0,RR,Yes
Kolkata Knight Riders,1,Dinesh Karthik,25,24,4,0,104.17,0,0,0,0,0,0,0,0,0,0,RR,Yes
Kolkata Knight Riders,1,Andre Russell,9,7,0,1,128.57,0,0,0,0,0,0,0,0,0,0,RR,Yes
Kolkata Knight Riders,1,Pat Cummins,10,6,0,1,166.67,3.5,23,0,36,0,9.4,0,0,0,0,RR,Yes
Kolkata Knight Riders,1,Shivam Mavi,5,7,1,0,71.43,4,24,0,19,1,4.75,0,0,0,0,RR,Yes
Kolkata Knight Riders,1,Prasidh Krishna,0,0,0,0,0,4,24,0,20,1,5,1,0,0,0,RR,No
Kolkata Knight Riders,1,Varun Chakravarthy,0,0,0,0,0,4,24,0,32,2,8.75,0,0,0,0,RR,No
Kolkata Knight Riders,0,Kamlesh Nagarkoti,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,RR,No
Rajasthan Royals,1,Jos Butler,5,7,1,0,71.43,0,0,0,0,0,0,0,1,0,0,KKR,Yes
Rajasthan Royals,1,Yashasvi Jaiswal,22,17,5,0,129.41,0,0,0,0,0,0,1,0,0,0,KKR,Yes
Rajasthan Royals,1,Sanju Samson,42,41,2,1,102.44,0,0,0,0,0,0,1,0,0,0,KKR,No
Rajasthan Royals,1,David Miller,24,23,3,0,104.35,0,0,0,0,0,0,1,0,0,0,KKR,No
Rajasthan Royals,1,Shivam Dube,0,0,0,0,0,1,6,0,5,0,5,0,0,0,0,KKR,Yes
Rajasthan Royals,1,Riyan Parag,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,KKR,No
Rajasthan Royals,1,Rahul Tewatia,5,8,0,0,62.5,3,18,0,24,0,8,0,0,0,0,KKR,Yes
Rajasthan Royals,1,Chris Morris,0,0,0,0,0,4,24,0,23,4,5.75,0,1,0,0,KKR,No
Rajasthan Royals,1,Jaydev Unadkat,0,0,0,0,0,4,24,0,25,1,6.25,0,0,0,0,KKR,No
Rajasthan Royals,1,Chetan Sakariya,0,0,0,0,0,4,24,0,31,1,7.75,1,0,0,0,KKR,No
Rajasthan Royals,1,Mustafizur Rahman,0,0,0,0,0,4,24,0,22,1,5.5,0,0,0,0,KKR,No
