Team,Match Played,Players,Batsman Runs,Balls,Fours,Sixes,Strike Rate,Over,Bowler Balls,Maiden,Bowler Runs,Wickets,Economy Rate,Catches,Run Out,50s,100s,Vs,Times Out
Chennai Super Kings,1,Rituraj Gaikwad,33,25,4,1,132.00,0,0,0,0,0,0.00,1,0,0,0,RCB,Yes
Chennai Super Kings,1,du Plessis,50,41,5,1,121.95,0,0,0,0,0,0.00,0,0,1,0,RCB,Yes
Chennai Super Kings,1,Suresh Raina,24,18,1,3,133.33,0,0,0,0,0,0.00,2,0,0,0,RCB,Yes
Chennai Super Kings,1,Ambati Rayudu,14,7,1,1,200.00,0,0,0,0,0,0.00,0,0,0,0,RCB,Yes
Chennai Super Kings,1,Ravindra Jadeja,62,28,4,5,221.43,4,24,1,13,3,3.25,0,1,1,0,RCB,No
Chennai Super Kings,1,Dhoni,2,3,0,0,66.67,0,0,0,0,0,0.00,1,0,0,0,RCB,No
Chennai Super Kings,1,Sam Curran,0,0,0,0,0.00,4,24,0,35,1,8.75,0,0,0,0,RCB,No
Chennai Super Kings,1, DJ Bravo,0,0,0,0,0.00,2,12,0,19,0,9.50,0,0,0,0,RCB,No
Chennai Super Kings,1,Imran Tahir,0,0,0,0,0.00,4,24,0,16,2,4.00,0,1,0,0,RCB,No
Chennai Super Kings,1,Shardul Thakur,0,0,0,0,0.00,4,24,0,11,1,2.75,0,0,0,0,RCB,No
Chennai Super Kings,1,Deepak Chahar,0,0,0,0,0.00,2,12,0,25,0,12.5,0,0,0,0,RCB,No
Royal Challengers Banglore,1,Devdutt Padikkal,34,15,4,2,226.67,0,0,0,0,0,0.00,1,0,0,0,CSK,Yes
Royal Challengers Banglore,1,Virat Kohli,8,7,1,0,114.29,0,0,0,0,0,0.00,0,0,0,0,CSK,Yes
Royal Challengers Banglore,1,Washington Sundar,7,11,1,0,63.64,2,12,0,13,0,6.50,0,0,0,0,CSK,Yes
Royal Challengers Banglore,1,Glenn Maxwell,22,15,3,0,146.67,0,0,0,0,0,0.00,0,0,0,0,CSK,Yes
Royal Challengers Banglore,1,AB de Villiers,4,9,0,0,44.44,0,0,0,0,0,0.00,0,0,0,0,CSK,Yes
Royal Challengers Banglore,1,Daniel Christian,1,3,0,0,33.33,2,12,0,12,0,6.00,1,0,0,0,CSK,Yes
Royal Challengers Banglore,1,Kyle Jamieson,16,13,1,1,123.08,3,18,0,31,0,10.33,2,0,0,0,CSK,Yes
Royal Challengers Banglore,1,Navdeep Saini,2,4,0,0,50.00,2,12,0,27,0,13.50,0,0,0,0,CSK,Yes
Royal Challengers Banglore,1,Harshal Patel,0,8,0,0,0.00,4,24,0,51,3,12.75,0,0,0,0,CSK,Yes
Royal Challengers Banglore,1,Mohammed Siraj,12,14,0,1,85.71,4,24,0,32,0,8.00,0,0,0,0,CSK,No
Royal Challengers Banglore,1,Yuzvendra Chahal,8,21,0,0,38.10,3,18,0,24,1,8.00,0,0,0,0,CSK,No
