Team,Match Played,Players,Batsman Runs,Balls,Fours,Sixes,Strike Rate,Over,Bowler Balls,Maiden,Bowler Runs,Wickets,Economy Rate,Catches,Run Out,50s,100s,Vs,Times Out
Chennai Super Kings,1,Rituraj Gaikwad,5,8,1,0,62.5,0,0,0,0,0,0,0,0,0,0,DC,Yes
Chennai Super Kings,1,du Plessis,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,DC,Yes
Chennai Super Kings,1,Moeen Ali,36,24,4,2,150,3,18,0,33,0,11,1,0,0,0,DC,Yes
Chennai Super Kings,1,Suresh Raina,54,36,3,4,150,0,0,0,0,0,0,0,0,1,0,DC,Yes
Chennai Super Kings,1,Ambati Rayudu,23,16,1,2,143.75,0,0,0,0,0,0,0,0,0,0,DC,Yes
Chennai Super Kings,1,Ravindra Jadeja,26,17,3,0,152.94,2,12,0,16,0,8,0,0,0,0,DC,Yes
Chennai Super Kings,1,Dhoni,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,DC,Yes
Chennai Super Kings,1,Sam Curran,34,15,4,2,226.67,2,12,0,24,0,12,1,0,0,0,DC,Yes
Chennai Super Kings,1,DJ Bravo,0,0,0,0,0,4,24,0,28,1,7,0,0,0,0,DC,No
Chennai Super Kings,1,Shardul Thakur,0,0,0,0,0,3.4,22,0,53,2,14.5,0,0,0,0,DC,No
Chennai Super Kings,1,Deepak Chahar,0,0,0,0,0,4,24,0,36,0,9,0,0,0,0,DC,No
Delhi Capitals,1,Prithvi Shaw,72,38,9,3,189.47,0,0,0,0,0,0,0,0,1,0,CSK,Yes
Delhi Capitals,1,Shikhar Dhawan,85,54,10,2,157.41,0,0,0,0,0,0,3,0,1,0,CSK,Yes
Delhi Capitals,1,Rishabh Pant,15,12,2,0,125,0,0,0,0,0,0,0,0,0,0,CSK,No
Delhi Capitals,1,Marcus Stoinis,14,9,3,0,155.56,2,12,0,26,0,13,0,0,0,0,CSK,Yes
Delhi Capitals,1,Shimron Hetymer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CSK,No
Delhi Capitals,1,Ajinkya Rahane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CSK,No
Delhi Capitals,1,Chris Woakes,0,0,0,0,0,3,18,0,18,2,6,0,1,0,0,CSK,No
Delhi Capitals,1,Ravi Ashwin,0,0,0,0,0,4,24,0,47,1,11.8,0,0,0,0,CSK,No
Delhi Capitals,1,Tom Curran,0,0,0,0,0,4,24,0,40,1,10,0,0,0,0,CSK,No
Delhi Capitals,1,Amit Mishra,0,0,0,0,0,3,18,0,27,0,9,0,0,0,0,CSK,No
Delhi Capitals,1,Avesh Khan,0,0,0,0,0,4,24,0,23,2,5.8,0,0,0,0,CSK,No
