Team,Match Played,Players,Batsman Runs,Balls,Fours,Sixes,Strike Rate,Over,Bowler Balls,Maiden,Bowler Runs,Wickets,Economy Rate,Catches,Run Out,50s,100s,Vs,Times Out
Delhi Capitals,1,Prithvi Shaw,53,39,7,1,135.90,0,0,0,0,0,0.00,0,0,1,0,SRH,Yes
Delhi Capitals,1,Shikhar Dhawan,28,26,3,0,107.69,0,0,0,0,0,0.00,1,0,0,0,SRH,Yes
Delhi Capitals,1,Steven Smith,34,25,3,1,136.00,0,0,0,0,0,0.00,0,0,0,0,SRH,No
Delhi Capitals,1,Rishabh Pant,37,27,4,1,137.04,0,0,0,0,0,0.00,0,1,0,0,SRH,Yes
Delhi Capitals,1,Shimron Hetmyer,1,2,0,0,50.00,0,0,0,0,0,0.00,0,0,0,0,SRH,Yes
Delhi Capitals,1,Marcus Stoinis,2,2,0,0,100.00,1,6,0,12,0,12.00,1,0,0,0,SRH,No
Delhi Capitals,1,Axar Patel,0,0,0,0,0.00,4,24,0,26,2,6.50,0,0,0,0,SRH,No
Delhi Capitals,1,Ravi Ashwin,0,0,0,0,0.00,4,24,0,27,0,6.75,0,0,0,0,SRH,No
Delhi Capitals,1,Amit Mishra,0,0,0,0,0.00,4,24,0,31,1,7.75,0,0,0,0,SRH,No
Delhi Capitals,1,Kagiso Rabada,0,0,0,0,0.00,3,18,0,25,0,8.33,0,1,0,0,SRH,No
Delhi Capitals,1,Avesh Khan,0,0,0,0,0.00,4,24,0,34,3,8.50,0,0,0,0,SRH,No
Sunrisers Hyderabad,1,Jonny Bairstow,38,18,3,4,211.11,0,0,0,0,0,0.00,0,0,0,0,DC,Yes
Sunrisers Hyderabad,1,David Warner,6,8,0,0,75.00,0,0,0,0,0,0.00,0,0,0,0,DC,Yes
Sunrisers Hyderabad,1,Kane Williamson,66,51,8,0,129.41,0,0,0,0,0,0.00,1,0,1,0,DC,No
Sunrisers Hyderabad,1,Virat Singh,4,14,0,0,28.57,0,0,0,0,0,0.00,0,0,0,0,DC,Yes
Sunrisers Hyderabad,1,Vijay Shankar,8,7,0,0,114.29,3,18,0,19,0,6.33,0,0,0,0,DC,Yes
Sunrisers Hyderabad,1,Abhishek Sharma,5,6,0,0,83.33,1,6,0,14,0,14.00,0,0,0,0,DC,Yes
Sunrisers Hyderabad,1,Kedar Jadhav,9,9,1,0,100.00,0,0,0,0,0,0.00,0,0,0,0,DC,Yes
Sunrisers Hyderabad,1,Rashid Khan,0,1,0,0,0.00,4,24,0,31,1,7.75,0,0,0,0,DC,Yes
Sunrisers Hyderabad,1,Jagadeesha Suchith,14,6,2,1,233.33,4,24,0,21,0,5.25,1,0,0,0,DC,No
Sunrisers Hyderabad,1,Siddarth Kaul,0,0,0,0,0.00,4,24,0,31,2,7.75,0,0,0,0,DC,No
Sunrisers Hyderabad,1,Khaleel Ahmed,0,0,0,0,0.00,4,24,0,42,0,10.50,0,1,0,0,DC,No
