Team,Match Played,Players,Batsman Runs,Balls,Fours,Sixes,Strike Rate,Over,Bowler Balls,Maiden,Bowler Runs,Wickets,Economy Rate,Catches,Run Out,50s,100s,Vs,Times Out
Punjab Kings,1,KL Rahul,19,20,2,1,95.00,0,0,0,0,0,0.00,0,0,0,0,KKR,Yes
Punjab Kings,1,Mayank Agarwal,31,34,1,2,91.18,0,0,0,0,0,0.00,0,0,0,0,KKR,Yes
Punjab Kings,1,Chris Gayle,0,1,0,0,0.00,0,0,0,0,0,0.00,0,0,0,0,KKR,Yes
Punjab Kings,1,Deepak Hooda,1,4,0,0,25.00,2,12,0,20,1,10.00,0,0,0,0,KKR,Yes
Punjab Kings,1,Nicholas Pooran,19,19,1,1,100.00,0,0,0,0,0,0.00,0,0,0,0,KKR,Yes
Punjab Kings,1,Moises Henriques,2,3,0,0,66.67,1,6,0,5,1,5.00,0,0,0,0,KKR,Yes
Punjab Kings,1,Shahrukh Khan,13,14,0,1,92.86,0,0,0,0,0,0.00,2,0,0,0,KKR,Yes
Punjab Kings,1,Chris Jordan,30,18,1,3,166.67,3,18,0,24,0,8.00,0,0,0,0,KKR,Yes
Punjab Kings,1,Ravi Bishoni,1,4,0,0,25.00,4,24,0,19,0,4.75,1,0,0,0,KKR,Yes
Punjab Kings,1,Mohammed Shami,1,2,0,0,50.00,4,24,0,25,1,6.25,0,0,0,0,KKR,No
Punjab Kings,1,Arshdeep Singh,1,1,0,0,100.00,2.4,16,0,27,1,10.10,0,1,0,0,KKR,No
Kolkata Knight Riders,1,Nitish Rana,0,1,0,0,0.00,0,0,0,0,0,0.00,0,0,0,0,PBKS,Yes
Kolkata Knight Riders,1,Shubman Gill,9,8,2,0,112.50,0,0,0,0,0,0.00,0,0,0,0,PBKS,Yes
Kolkata Knight Riders,1,Rahul Tripathi,41,32,7,0,128.13,0,0,0,0,0,0.00,1,0,0,0,PBKS,Yes
Kolkata Knight Riders,1,Eoin Morgan,47,40,4,2,117.50,0,0,0,0,0,0.00,3,0,0,0,PBKS,No
Kolkata Knight Riders,1,Sunil Narine,0,4,0,0,0.00,4,24,0,22,2,5.50,1,0,0,0,PBKS,Yes
Kolkata Knight Riders,1,Dinesh Karthik,12,6,2,0,200.00,0,0,0,0,0,0.00,1,0,0,0,PBKS,No
Kolkata Knight Riders,1,Andre Russell,10,9,2,0,111.11,1,6,0,2,0,2.00,0,0,0,0,PBKS,Yes
Kolkata Knight Riders,1,Pat Cummins,0,0,0,0,0.00,3,18,0,31,2,10.33,0,0,0,0,PBKS,No
Kolkata Knight Riders,1,Shivam Mavi,0,0,0,0,0.00,4,24,0,13,1,3.25,0,0,0,0,PBKS,No
Kolkata Knight Riders,1,Prasidh Krishna,0,0,0,0,0.00,4,24,0,30,3,7.50,0,0,0,0,PBKS,No
Kolkata Knight Riders,1,Varun Chakravarthy,0,0,0,0,0.00,4,24,0,24,1,6.00,0,0,0,0,PBKS,No
