Team,Match Played,Players,Batsman Runs,Balls,Fours,Sixes,Strike Rate,Over,Bowler Balls,Maiden,Bowler Runs,Wickets,Economy Rate,Catches,Run Out,50s,100s,Vs,Times Out
Royal Challengers Banglore,1,Devdutt Padikkal,17,14,2,0,121.43,0,0,0,0,0,0.00,0,0,0,0,DC,Yes
Royal Challengers Banglore,1,Virat Kohli,12,11,2,0,109.09,0,0,0,0,0,0.00,0,0,0,0,DC,Yes
Royal Challengers Banglore,1,Rajat Patidar,31,22,0,2,140.91,0,0,0,0,0,0.00,0,0,0,0,DC,Yes
Royal Challengers Banglore,1,Glenn Maxwell,25,20,1,2,125.00,0,0,0,0,0,0.00,0,0,0,0,DC,Yes
Royal Challengers Banglore,1,AB de Villiers,75,42,3,5,178.57,0,0,0,0,0,0.00,3,0,1,0,DC,No
Royal Challengers Banglore,1,Washington Sundar,6,9,0,0,66.67,4,24,0,28,0,7.00,0,0,0,0,DC,Yes
Royal Challengers Banglore,1,Kyle Jamieson,0,0,0,0,0.00,4,24,0,32,1,8.00,0,0,0,0,DC,No
Royal Challengers Banglore,1,Daniel Sams,3,2,0,0,150.00,2,12,0,15,0,7.50,0,0,0,0,DC,No
Royal Challengers Banglore,1,Harshal Patel,0,0,0,0,0.00,4,24,0,37,2,9.25,0,0,0,0,DC,No
Royal Challengers Banglore,1,Mohammed Siraj,0,0,0,0,0.00,4,24,0,44,1,11.00,0,0,0,0,DC,No
Royal Challengers Banglore,1,Yuzvendra Chahal,0,0,0,0,0.00,2,12,0,10,0,5.00,1,0,0,0,DC,No
Delhi Capitals,1,Prithvi Shaw,21,18,3,0,116.67,0,0,0,0,0,0.00,0,0,0,0,RCB,Yes
Delhi Capitals,1,Shikhar Dhawan,6,7,1,0,85.71,0,0,0,0,0,0.00,0,0,0,0,RCB,Yes
Delhi Capitals,1,Steven Smith,4,5,1,0,80.00,0,0,0,0,0,0.00,2,0,0,0,RCB,Yes
Delhi Capitals,1,Rishabh Pant,58,48,6,0,120.83,0,0,0,0,0,0.00,0,0,1,0,RCB,No
Delhi Capitals,1,Shimron Hetmyer,53,25,2,4,212.00,0,0,0,0,0,0.00,0,0,1,0,RCB,No
Delhi Capitals,1,Marcus Stoinis,22,17,3,0,129.41,1,6,0,23,0,23.00,0,0,0,0,RCB,Yes
Delhi Capitals,1,Axar Patel,0,0,0,0,0.00,4,24,0,33,1,8.25,0,0,0,0,RCB,No
Delhi Capitals,1,Ishant Sharma,0,0,0,0,0.00,4,24,1,26,1,6.50,0,0,0,0,RCB,No
Delhi Capitals,1,Amit Mishra,0,0,0,0,0.00,3,18,0,27,1,9.00,0,0,0,0,RCB,No
Delhi Capitals,1,Kagiso Rabada,0,0,0,0,0.00,4,24,0,38,1,9.50,1,0,0,0,RCB,No
Delhi Capitals,1,Avesh Khan,0,0,0,0,0.00,4,24,0,24,1,6.00,,0,0,0,RCB,No
