Team,Match Played,Players,Batsman Runs,Balls,Fours,Sixes,Strike Rate,Over,Bowler Balls,Maiden,Bowler Runs,Wickets,Economy Rate,Catches,Run Out,50s,100s,Vs,Times Out
Sunrisers Hyderabad,1,Jonny Bairstow,7,5,1,0,140,0,0,0,0,0,0,0,0,0,0,CSK,Yes
Sunrisers Hyderabad,1,David Warner,57,55,3,2,103.64,0,0,0,0,0,0,0,0,1,0,CSK,Yes
Sunrisers Hyderabad,1,Kane Williamson,26,10,4,1,260,0,0,0,0,0,0,0,0,0,0,CSK,No
Sunrisers Hyderabad,1,Manish Pandey,61,46,5,1,132.61,0,0,0,0,0,0,0,0,0,0,CSK,Yes
Sunrisers Hyderabad,1,Kedar Jadhav,12,4,1,1,300,0,0,0,0,0,0,1,0,0,0,CSK,No
Sunrisers Hyderabad,1,Vijay Shankar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CSK,No
Sunrisers Hyderabad,1,Rashid Khan,0,0,0,0,0,4,24,0,36,3,9,0,0,0,0,CSK,No
Sunrisers Hyderabad,1,Jagadeesha Suchith,0,0,0,0,0,3,18,0,45,0,15,0,0,0,0,CSK,No
Sunrisers Hyderabad,1,Sandeep Sharma,0,0,0,0,0,3.3,21,0,24,0,6.90,0,0,0,0,CSK,No
Sunrisers Hyderabad,1,Siddarth Kaul,0,0,0,0,0,4,24,0,32,0,8,0,0,0,0,CSK,No
Sunrisers Hyderabad,1,Khaleel Ahmed,0,0,0,0,0,4,24,0,36,0,9,0,0,0,0,CSK,No
Chennai Super Kings,1,Rituraj Gaikwad,75,44,12,0,170.45,0,0,0,0,0,0,0,0,1,0,SRH,Yes
Chennai Super Kings,1,du Plessis,56,38,6,1,147.37,0,0,0,0,0,0,1,0,1,0,SRH,Yes
Chennai Super Kings,1,Suresh Raina,17,15,3,0,113.33,0,0,0,0,0,0,0,0,0,0,SRH,No
Chennai Super Kings,1,Ambati Rayudu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SRH,No
Chennai Super Kings,1,Ravindra Jadeja,7,6,1,0,116.67,3,18,0,23,0,7.67,1,0,0,0,SRH,No
Chennai Super Kings,1,Dhoni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SRH,No
Chennai Super Kings,1,Sam Curran,0,0,0,0,0,4,24,0,30,1,7.5,0,0,0,0,SRH,No
Chennai Super Kings,1,Moeen Ali15,15,8,3,0,187.5,2,12,0,16,0,8,0,0,0,0,SRH,Yes
Chennai Super Kings,1,Lungi Ngidi,0,0,0,0,0,4,24,0,35,2,8.75,0,0,0,0,SRH,No
Chennai Super Kings,1,Shardul Thakur,0,0,0,0,0,4,24,0,44,0,11,0,0,0,0,SRH,No
Chennai Super Kings,1,Deepak Chahar,0,0,0,0,0,3,18,0,21,0,7,1,0,0,0,SRH,No
