Team,Match Played,Players,Batsman Runs,Balls,Fours,Sixes,Strike Rate,Over,Bowler Balls,Maiden,Bowler Runs,Wickets,Economy Rate,Catches,Run Out,50s,100s,Vs,Times Out
Rajasthan Royals,1,Jos Butler,41,32,3,3,128.13,0,0,0,0,0,0.00,1,0,0,0,MI,Yes
Rajasthan Royals,1,Yashasvi Jaiswal,32,20,2,2,160.00,0,0,0,0,0,0.00,0,0,0,0,MI,Yes
Rajasthan Royals,1,Sanju Samson,42,27,5,0,155.56,0,0,0,0,0,0.00,0,0,0,0,MI,Yes
Rajasthan Royals,1,David Miller,7,4,1,0,175.00,0,0,0,0,0,0.00,0,0,0,0,MI,No
Rajasthan Royals,1,Shivam Dube,35,31,2,2,112.90,1,6,0,6,0,6.00,0,0,0,0,MI,Yes
Rajasthan Royals,1,Riyan Parag,8,7,1,0,114.29,0,0,0,0,0,0.00,0,0,0,0,MI,No
Rajasthan Royals,1,Rahul Tewatia,0,0,0,0,0.00,3,18,0,33,0,11.00,0,0,0,0,MI,No
Rajasthan Royals,1,Chris Morris,0,0,0,0,0.00,4,24,0,33,2,8.25,0,0,0,0,MI,No
Rajasthan Royals,1,Jaydev Unadkat,0,0,0,0,0.00,4,24,0,33,0,8.25,0,0,0,0,MI,No
Rajasthan Royals,1,Chetan Sakariya,0,0,0,0,0.00,3,18,0,18,0,6.00,1,0,0,0,MI,No
Rajasthan Royals,1,Mustafizur Rahman,0,0,0,0,0.00,3.3,21,0,37,1,10.60,0,0,0,0,MI,No
Mumbai Indians,1,Rohit Sharma,14,17,0,1,82.35,0,0,0,0,0,0.00,0,0,0,0,RR,Yes
Mumbai Indians,1,Quinton de Kock,70,50,6,2,140.00,0,0,0,0,0,0.00,0,1,1,0,RR,No
Mumbai Indians,1,Suryakumar Yadav,16,10,3,0,160.00,0,0,0,0,0,0.00,0,0,0,0,RR,Yes
Mumbai Indians,1,Krunal Pandya,39,26,2,2,150.00,1,6,0,12,0,12.00,0,0,0,0,RR,Yes
Mumbai Indians,1,Hardik Pandya,0,0,0,0,0.00,0,0,0,0,0,0.00,0,0,0,0,RR,No
Mumbai Indians,1,Kieron Pollard,16,8,2,1,200.00,0,0,0,0,0,0.00,0,0,0,0,RR,No
Mumbai Indians,1,Nathan Coulter Nile,0,0,0,0,0.00,4,24,0,35,0,8.75,0,0,0,0,RR,No
Mumbai Indians,1,Jayant Yadav,0,0,0,0,0.00,3,18,0,37,0,12.33,0,0,0,0,RR,No
Mumbai Indians,1,Rahul Chahar,0,0,0,0,0.00,4,24,0,33,2,8.25,1,0,0,0,RR,No
Mumbai Indians,1,Jasprit Bumrah,0,0,0,0,0.00,4,24,0,15,1,3.75,0,0,0,0,RR,No
Mumbai Indians,1,Trent Boult,0,0,0,0,0.00,4,24,0,37,1,9.25,1,0,0,0,RR,No
