Team,Match Played,Players,Batsman Runs,Balls,Fours,Sixes,Strike Rate,Over,Bowler Balls,Maiden,Bowler Runs,Wickets,Economy Rate,Catches,Run Out,50s,100s,Vs,Times Out
Kolkata Knight Riders,1,Nitish Rana,15,12,1,1,125.00,0,0,0,0,0,0,1,0,0,0,DC,Yes
Kolkata Knight Riders,1,Shubman Gill,43,38,3,1,113.16,0,0,0,0,0,0,0,0,0,0,DC,Yes
Kolkata Knight Riders,1,Rahul Tripathi,19,17,2,0,111.76,0,0,0,0,0,0,0,0,0,0,DC,Yes
Kolkata Knight Riders,1,Eoin Morgan,0,2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,DC,Yes
Kolkata Knight Riders,1,Sunil Narine,0,1,0,0,0.00,4,24,0,36,0,9,0,0,0,0,DC,Yes
Kolkata Knight Riders,1,Dinesh Karthik,14,10,1,1,140.00,0,0,0,0,0,0,0,0,0,0,DC,Yes
Kolkata Knight Riders,1,Andre Russell,45,27,2,4,166.67,0,0,0,0,0,0,0,0,0,0,DC,No
Kolkata Knight Riders,1,Pat Cummins,11,13,1,0,84.62,4,24,0,24,3,6,0,0,0,0,DC,No
Kolkata Knight Riders,1,Shivam Mavi,0,0,0,0,0.00,1,6,0,25,0,25.00,1,0,0,0,DC,No
Kolkata Knight Riders,1,Prasidh Krishna,0,0,0,0,0.00,3.3,21,0,36,0,10.30,0,0,0,0,DC,No
Kolkata Knight Riders,1,Varun Chakravarthy,0,0,0,0,0.00,4,24,0,34,0,8.50,0,0,0,0,DC,No
Delhi Capitals,1,Prithvi Shaw,82,41,11,3,200.00,0,0,0,0,0,0,0,0,1,0,KKR,Yes
Delhi Capitals,1,Shikhar Dhawan,46,47,4,1,97.87,0,0,0,0,0,0,0,0,0,0,KKR,Yes
Delhi Capitals,1,Steven Smith,0,0,0,0,0.00,0,0,0,0,0,0,2,0,0,0,KKR,No
Delhi Capitals,1,Rishabh Pant,16,8,2,1,200.00,0,0,0,0,0,0,0,1,0,0,KKR,Yes
Delhi Capitals,1,Shimron Hetmyer,0,1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,KKR,No
Delhi Capitals,1,Marcus Stoinis,6,3,1,0,200.00,1,6,0,7,1,7.00,0,0,0,0,KKR,No
Delhi Capitals,1,Axar Patel,0,0,0,0,0.00,4,24,0,32,2,8.00,0,0,0,0,KKR,No
Delhi Capitals,1,Ishant Sharma,0,0,0,0,0.00,4,24,0,34,0,8.50,0,0,0,0,KKR,No
Delhi Capitals,1,Lalit Yadav,0,0,0,0,0.00,3,18,0,13,2,4.33,1,0,0,0,KKR,No
Delhi Capitals,1,Kagiso Rabada,0,0,0,0,0.00,4,24,0,31,0,7.75,0,0,0,0,KKR,No
Delhi Capitals,1,Avesh Khan,0,0,0,0,0.00,4,24,0,31,1,7.75,0,0,0,0,KKR,No
