Team,Match Played,Players,Batsman Runs,Balls,Fours,Sixes,Strike Rate,Over,Bowler Balls,Maiden,Bowler Runs,Wickets,Economy Rate,Catches,Run Out,50s,100s,Vs,Times Out
Punjab Kings,1,KL Rahul,91,57,7,5,159.65,0,0,0,0,0,0,1,0,1,0,RCB,No
Punjab Kings,1,Paramsimran Singh,7,7,1,0,100.00,0,0,0,0,0,0,0,0,0,0,RCB,Yes
Punjab Kings,1,Chris Gayle,46,24,6,2,191.67,0,0,0,0,0,0,0,0,0,0,RCB,Yes
Punjab Kings,1,Deepak Hooda,5,9,0,0,55.56,1,6,0,13,0,13,0,0,0,0,RCB,Yes
Punjab Kings,1,Nicholas Pooran,0,3,0,0,0.00,0,0,0,0,0,0,1,0,0,0,RCB,Yes
Punjab Kings,1,Shahrukh Khan,0,3,0,0,0.00,0,0,0,0,0,0,0,0,0,0,RCB,Yes
Punjab Kings,1,Harpreet Brar,25,17,1,2,147.06,4,24,1,19,3,4.75,1,0,0,0,RCB,No
Punjab Kings,1,Chris Jordan,0,0,0,0,0.00,4,24,0,31,1,7.75,0,0,0,0,RCB,No
Punjab Kings,1,Ravi Bishoni,0,0,0,0,0.00,4,24,0,17,2,4.25,1,0,0,0,RCB,No
Punjab Kings,1,Mohammed Shami,0,0,0,0,0.00,3.4,22,0,28,1,8.24,0,0,0,0,RCB,No
Punjab Kings,1,Riley Meredith,0,0,0,0,0.00,3.2,20,0,29,1,9.06,0,0,0,0,RCB,No
Royal Challengers Banglore,1,Devdutt Padikkal,7,6,0,1,116.67,0,0,0,0,0,0,0,0,0,0,PBKS,Yes
Royal Challengers Banglore,1,Virat Kohli,35,34,3,1,102.94,0,0,0,0,0,0,1,0,0,0,PBKS,Yes
Royal Challengers Banglore,1,Rajat Patidar,31,30,2,1,103.33,0,0,0,0,0,0,1,0,0,0,PBKS,Yes
Royal Challengers Banglore,1,Glenn Maxwell,0,1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,PBKS,Yes
Royal Challengers Banglore,1,AB de Villiers,3,9,0,0,33.33,0,0,0,0,0,0,1,0,0,0,PBKS,Yes
Royal Challengers Banglore,1,Shahbaz Ahmed,8,11,1,0,72.73,2,12,0,11,1,5.5,1,0,0,0,PBKS,Yes
Royal Challengers Banglore,1,Kyle Jamieson,16,11,1,1,145.45,3,18,0,32,2,10.67,0,0,0,0,PBKS,No
Royal Challengers Banglore,1,Daniel Sams,3,4,0,0,75.00,4,24,0,24,1,6,0,0,0,0,PBKS,Yes
Royal Challengers Banglore,1,Harshal Patel,31,13,3,2,238.46,4,24,0,53,0,13.25,0,0,0,0,PBKS,Yes
Royal Challengers Banglore,1,Mohammed Siraj,0,1,0,0,0.00,3,18,0,24,0,8,0,0,0,0,PBKS,No
Royal Challengers Banglore,1,Yuzvendra Chahal,0,0,0,0,0.00,4,24,0,34,1,8.5,0,0,0,0,PBKS,No
