Team,Match Played,Players,Batsman Runs,Balls,Fours,Sixes,Strike Rate,Over,Bowler Balls,Maiden,Bowler Runs,Wickets,Economy Rate,Catches,Run Out,50s,100s,Vs,Times Out
Kolkata Knight Riders,1,Nitish Rana,80,56,9,4,142.86,0,0,0,0,0,0,1,0,1,0,SRH,Yes
Kolkata Knight Riders,1,Shubman Gill,15,13,1,1,115.38,0,0,0,0,0,0,0,0,0,0,SRH,Yes
Kolkata Knight Riders,1,Rahul Tripathi,53,29,5,2,182.76,0,0,0,0,0,0,0,0,1,0,SRH,Yes
Kolkata Knight Riders,1,Andre Russell,5,5,1,0,100,3,18,0,32,1,10.7,0,0,0,0,SRH,Yes
Kolkata Knight Riders,1,Eoin Morgan,2,3,0,0,66.67,0,0,0,0,0,0,2,0,0,0,SRH,Yes
Kolkata Knight Riders,1,Dinesh Karthik,22,9,2,1,244.44,0,0,0,0,0,0,1,0,0,0,SRH,No
Kolkata Knight Riders,1,Shakib Al Hasan,3,5,0,0,60,4,24,0,34,1,8.5,0,0,0,0,SRH,Yes
Kolkata Knight Riders,1,Pat Cummins,0,0,0,0,0,4,24,0,30,1,7.5,0,0,0,0,SRH,No
Kolkata Knight Riders,1,Harbhajan Singh,0,0,0,0,0,1,6,0,8,0,8,0,0,0,0,SRH,No
Kolkata Knight Riders,1,Prasidh Krishna,0,0,0,0,0,4,24,0,35,2,8.8,0,0,0,0,SRH,No
Kolkata Knight Riders,1,Varun Chakravarthy,0,0,0,0,0,4,24,0,36,0,9,0,0,0,0,SRH,No
Sunrisers Hyderabad,1,Wriddhiman Saha,7,6,0,1,116.67,0,0,0,0,0,0,1,0,0,0,KKR,Yes
Sunrisers Hyderabad,1,David Warner,3,4,0,0,75,0,0,0,0,0,0,0,0,0,0,KKR,Yes
Sunrisers Hyderabad,1,Manish Pandey,61,44,2,3,138.64,0,0,0,0,0,0,1,0,1,0,KKR,No
Sunrisers Hyderabad,1,Jonny Bairstow,55,40,5,3,137.5,0,0,0,0,0,0,0,0,1,0,KKR,Yes
Sunrisers Hyderabad,1,Mohammad Nabi,14,11,2,0,127.27,4,24,0,32,2,8,0,0,0,0,KKR,Yes
Sunrisers Hyderabad,1,Vijay Shankar,11,7,0,1,157.14,1,6,0,14,0,14,1,0,0,0,KKR,Yes
Sunrisers Hyderabad,1,Abdul Samad,19,8,0,2,237.5,0,0,0,0,0,0,2,0,0,0,KKR,No
Sunrisers Hyderabad,1,Rashid Khan,0,0,0,0,0,4,24,0,24,2,6,0,0,0,0,KKR,No
Sunrisers Hyderabad,1,Bhuvneshwar Kumar,0,0,0,0,0,4,24,0,45,1,11.2,0,0,0,0,KKR,No
Sunrisers Hyderabad,1,T Natarjan,0,0,0,0,0,4,24,0,37,1,9.2,0,0,0,0,KKR,No
Sunrisers Hyderabad,1,Sandeeep Sharma,0,0,0,0,0,3,18,0,35,0,11.7,0,0,0,0,KKR,No
