Team,Match Played,Players,Batsman Runs,Balls,Fours,Sixes,Strike Rate,Over,Bowler Balls,Maiden,Bowler Runs,Wickets,Economy Rate,Catches,Run Out,50s,100s,Vs,Times Out
Punjab Kings,1,KL Rahul,91,50,7,5,182,0,0,0,0,0,0,2,0,1,0,RR,Yes
Punjab Kings,1,Mayank Agarwal,14,9,2,0,155.56,0,0,0,0,0,0,0,0,0,0,RR,Yes
Punjab Kings,1,Chris Gayle,40,28,4,2,142.86,0,0,0,0,0,0,0,0,0,0,RR,Yes
Punjab Kings,1,Deepak Hooda,64,28,4,6,228.57,0,0,0,0,0,0,2,0,1,0,RR,Yes
Punjab Kings,1,Nicholas Pooran,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,RR,Yes
Punjab Kings,1,Shahrukh Khan,6,4,1,0,150,0,0,0,0,0,0,0,0,0,0,RR,No
Punjab Kings,1,Jhye Richardson,0,2,0,0,0,4,24,0,55,1,13.8,0,0,0,0,RR,Yes
Punjab Kings,1,Murugan Ashwin,0,0,0,0,0,4,24,0,43,0,10.8,0,0,0,0,RR,No
Punjab Kings,1,Riley Meredith,0,0,0,0,0,4,24,0,49,1,12.3,0,0,0,0,RR,No
Punjab Kings,1,Mohammed Shami,0,0,0,0,0,4,24,0,33,2,8.3,1,0,0,0,RR,No
Punjab Kings,1,Arshdeep Singh,0,0,0,0,0,4,24,0,35,3,8.8,1,0,0,0,RR,No
Rajasthan Royals,1,Ben Stokes,0,3,0,0,0,1,6,0,12,0,12,1,0,0,0,PBKS,Yes
Rajasthan Royals,1,Manan Vohra,12,8,1,1,150,0,0,0,0,0,0,0,0,0,0,PBKS,Yes
Rajasthan Royals,1,Sanju Samson,119,63,12,7,188.89,0,0,0,0,0,0,1,0,0,1,PBKS,Yes
Rajasthan Royals,1,Jos Butler,25,13,5,0,192.31,0,0,0,0,0,0,0,0,0,0,PBKS,Yes
Rajasthan Royals,1,Shivam Dube,23,15,3,0,153.33,1,6,0,20,0,20,0,0,0,0,PBKS,Yes
Rajasthan Royals,1,Riyan Parag,25,11,1,3,227.27,1,6,0,7,1,7,1,0,0,0,PBKS,Yes
Rajasthan Royals,1,Rahul Tewatia,2,4,0,0,50,2,12,0,25,0,12.5,1,0,0,0,PBKS,Yes
Rajasthan Royals,1,Chris Morris,2,4,0,0,50,4,24,0,41,2,10.3,1,0,0,0,PBKS,No
Rajasthan Royals,1,Shreyas Gopal,0,0,0,0,0,3,18,0,40,0,13.3,0,0,0,0,PBKS,No
Rajasthan Royals,1,Chetan Sakariya,0,0,0,0,0,4,24,0,31,3,7.8,1,0,0,0,PBKS,No
Rajasthan Royals,1,Mustafizur Rahman,0,0,0,0,0,4,24,0,45,0,11.3,0,0,0,0,PBKS,No
