Team,Match Played,Players,Batsman Runs,Balls,Fours,Sixes,Strike Rate,Over,Bowler Balls,Maiden,Bowler Runs,Wickets,Economy Rate,Catches,Run Out,50s,100s,Vs,Times Out
Mumbai Indians,1,Rohit Sharma,43,32,3,1,134.38,1,6,0,9,0,9,0,0,0,0,KKR,Yes
Mumbai Indians,1,Quinton de Kock,2,6,0,0,33.33,0,0,0,0,0,0,1,1,0,0,KKR,Yes
Mumbai Indians,1,Suryakumar Yadav,56,36,7,2,155.56,0,0,0,0,0,0,1,0,1,0,KKR,Yes
Mumbai Indians,1,Ishan Kishan,1,3,0,0,33.33,0,0,0,0,0,0,0,0,0,0,KKR,Yes
Mumbai Indians,1,Hardik Pandya,15,17,2,0,88.24,0,0,0,0,0,0,0,0,0,0,KKR,Yes
Mumbai Indians,1,Kieron Pollard,5,8,1,0,62.5,1,6,0,12,0,12,1,0,0,0,KKR,Yes
Mumbai Indians,1,Krunal Pandya,15,9,3,0,166.67,4,24,0,13,1,3.3,0,0,0,0,KKR,Yes
Mumbai Indians,1,Marco Jansen,0,1,0,0,0,2,12,0,17,0,8.5,1,0,0,0,KKR,Yes
Mumbai Indians,1,Rahul Chahar,8,7,0,0,114.29,4,24,0,27,4,6.8,0,0,0,0,KKR,Yes
Mumbai Indians,1,Jasprit Bumrah,0,1,0,0,0,4,24,0,28,0,7,0,0,0,0,KKR,Yes
Mumbai Indians,1,Trent Boult,0,0,0,0,0,4,24,0,27,2,6.8,1,0,0,0,KKR,No
Kolkata Knight Riders,1,Nitish Rana,57,47,6,2,121.28,0,0,0,0,0,0,0,0,1,0,MI,Yes
Kolkata Knight Riders,1,Shubman Gill,33,24,5,1,137.5,0,0,0,0,0,0,2,0,0,0,MI,Yes
Kolkata Knight Riders,1,Rahul Tripathi,5,5,0,0,100,0,0,0,0,0,0,1,0,0,0,MI,Yes
Kolkata Knight Riders,1,Andre Russell,9,15,1,0,60,2,12,0,15,5,7.5,1,0,0,0,MI,Yes
Kolkata Knight Riders,1,Eoin Morgan,7,7,1,0,100,0,0,0,0,0,0,0,0,0,0,MI,Yes
Kolkata Knight Riders,1,Dinesh Karthik,8,11,0,0,72.73,0,0,0,0,0,0,1,0,0,0,MI,No
Kolkata Knight Riders,1,Shakib Al Hasan,9,9,1,0,100,4,24,0,23,1,5.8,1,0,0,0,MI,Yes
Kolkata Knight Riders,1,Pat Cummins,0,1,0,0,0,4,24,0,24,2,6,1,0,0,0,MI,Yes
Kolkata Knight Riders,1,Harbhajan Singh,2,2,0,0,100,2,12,0,17,0,8.5,0,0,0,0,MI,No
Kolkata Knight Riders,1,Prasidh Krishna,0,0,0,0,0,4,24,0,42,1,10.5,2,0,0,0,MI,No
Kolkata Knight Riders,1,Varun Chakravarthy,0,0,0,0,0,4,24,0,27,1,6.8,0,0,0,0,MI,No
