Team,Match Played,Players,Batsman Runs,Balls,Fours,Sixes,Strike Rate,Over,Bowler Balls,Maiden,Bowler Runs,Wickets,Economy Rate,Catches,Run Out,50s,100s,Vs,Times Out
Royal Challengers Banglore,1,Washington Sundar,8,11,1,0,72.73,2,12,0,14,0,7,0,0,0,0,SRH,Yes
Royal Challengers Banglore,1,Virat Kohli,33,29,4,0,113.79,0,0,0,0,0,0,1,0,0,0,SRH,Yes
Royal Challengers Banglore,1,Devdutt Padikkal,11,13,2,0,84.62,0,0,0,0,0,0,0,0,0,0,SRH,Yes
Royal Challengers Banglore,1,Glenn Maxwell,59,41,5,3,143.9,0,0,0,0,0,0,1,0,1,0,SRH,Yes
Royal Challengers Banglore,1,AB de Villiers,1,5,0,0,20,0,0,0,0,0,0,1,0,0,0,SRH,Yes
Royal Challengers Banglore,1,Shahbaz Ahmed,14,10,0,1,140,2,12,0,7,3,3.5,2,0,0,0,SRH,Yes
Royal Challengers Banglore,1,Daniel Christian,1,2,0,0,50,1,6,0,7,0,7,2,0,0,0,SRH,Yes
Royal Challengers Banglore,1,Kyle Jamieson,12,9,2,0,133.33,3,18,0,30,1,10,0,0,0,0,SRH,Yes
Royal Challengers Banglore,1,Harshal Patel,0,0,0,0,0,4,24,0,25,2,6.25,1,0,0,0,SRH,No
Royal Challengers Banglore,1,Mohammed Siraj,0,0,0,0,0,4,24,1,25,2,6.25,0,1,0,0,SRH,No
Royal Challengers Banglore,1,Yuzvendra Chahal,0,0,0,0,0,4,24,0,29,0,7.25,0,0,0,0,SRH,No
Sunrisers Hyderabad,1,Wriddhiman Saha,1,9,0,0,11.11,0,0,0,0,0,0,2,0,0,0,RCB,Yes
Sunrisers Hyderabad,1,David Warner,54,37,7,1,145.95,0,0,0,0,0,0,1,0,1,0,RCB,Yes
Sunrisers Hyderabad,1,Manish Pandey,38,39,2,2,97.44,0,0,0,0,0,0,2,0,0,0,RCB,Yes
Sunrisers Hyderabad,1,Jonny Bairstow,12,13,1,0,92.31,0,0,0,0,0,0,0,0,0,0,RCB,Yes
Sunrisers Hyderabad,1,Jason Holder,4,5,0,0,80,4,24,0,30,3,7.5,0,0,0,0,RCB,Yes
Sunrisers Hyderabad,1,Vijay Shankar,3,5,0,0,60,0,0,0,0,0,0,1,0,0,0,RCB,Yes
Sunrisers Hyderabad,1,Abdul Samad,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,RCB,Yes
Sunrisers Hyderabad,1,Rashid Khan,17,9,1,1,188.89,4,24,0,18,2,4.5,1,0,0,0,RCB,Yes
Sunrisers Hyderabad,1,Bhuvneshwar Kumar,2,2,0,0,100,4,24,0,30,1,7.5,0,0,0,0,RCB,No
Sunrisers Hyderabad,1,T Natarjan,0,0,0,0,0,4,24,0,32,1,8,0,0,0,0,RCB,No
Sunrisers Hyderabad,1,Shahbaz Nadeem,0,1,0,0,0,4,24,0,36,1,9,1,0,0,0,RCB,Yes
