Team,Match Played,Players,Batsman Runs,Balls,Fours,Sixes,Strike Rate,Over,Bowler Balls,Maiden,Bowler Runs,Wickets,Economy Rate,Catches,Run Out,50s,100s,Vs,Times Out
Delhi Capitals,1,Prithvi Shaw,2,5,0,0,40,0,0,0,0,0,0,0,0,0,0,RR,Yes
Delhi Capitals,1,Shikhar Dhawan,9,11,1,0,81.82,0,0,0,0,0,0,3,0,0,0,RR,Yes
Delhi Capitals,1,Rishabh Pant,51,32,9,0,159.38,0,0,0,0,0,0,1,0,1,0,RR,Yes
Delhi Capitals,1,Marcus Stoinis,0,5,0,0,0,1,6,0,15,0,15,0,0,0,0,RR,Yes
Delhi Capitals,1,Lalit Yadav,20,24,3,0,83.33,0,0,0,0,0,0,2,0,0,0,RR,Yes
Delhi Capitals,1,Ajinkya Rahane,8,8,1,0,100,0,0,0,0,0,0,0,0,0,0,RR,Yes
Delhi Capitals,1,Chris Woakes,15,11,2,0,136.36,4,24,0,22,2,5.5,0,0,0,0,RR,No
Delhi Capitals,1,Ravi Ashwin,7,4,1,0,175,3,18,0,14,0,4.7,0,0,0,0,RR,Yes
Delhi Capitals,1,Tom Curran,21,16,2,0,131.25,3.4,22,0,35,0,10.3,0,0,0,0,RR,Yes
Delhi Capitals,1,Kagiso Rabada,9,4,1,0,225,4,24,0,30,2,7.5,1,0,0,0,RR,No
Delhi Capitals,1,Avesh Khan,0,0,0,0,0,4,24,0,32,3,8,0,0,0,0,RR,No
Rajasthan Royals,1,Jos Butler,2,7,0,0,28.57,0,0,0,0,0,0,1,0,0,0,DC,Yes
Rajasthan Royals,1,Manan Vohra,9,11,2,0,81.82,0,0,0,0,0,0,0,0,0,0,DC,Yes
Rajasthan Royals,1,Sanju Samson,4,3,1,0,133.33,0,0,0,0,0,0,1,0,0,0,DC,Yes
Rajasthan Royals,1,David Miller,62,43,7,2,144.19,0,0,0,0,0,0,1,1,1,0,DC,Yes
Rajasthan Royals,1,Shivam Dube,2,7,0,0,28.57,0,0,0,0,0,0,0,0,0,0,DC,Yes
Rajasthan Royals,1,Riyan Parag,2,5,0,0,40,2,12,0,16,0,8,0,1,0,0,DC,Yes
Rajasthan Royals,1,Rahul Tewatia,19,17,2,0,111.76,3,18,0,27,0,9,1,0,0,0,DC,Yes
Rajasthan Royals,1,Chris Morris,36,18,0,4,200,3,18,0,27,1,9,0,0,0,0,DC,No
Rajasthan Royals,1,Jaydev Unadkat,11,7,0,1,157.14,4,24,0,15,3,3.8,1,0,0,0,DC,No
Rajasthan Royals,1,Chetan Sakariya,0,0,0,0,0,4,24,0,33,0,8.3,0,0,0,0,DC,No
Rajasthan Royals,1,Mustafizur Rahman,0,0,0,0,0,4,24,0,29,2,7.3,0,0,0,0,DC,No
