Team,Match Played,Players,Batsman Runs,Balls,Fours,Sixes,Strike Rate,Over,Bowler Balls,Maiden,Bowler Runs,Wickets,Economy Rate,Catches,Run Out,50s,100s,Vs,Times Out
Punjab Kings,1,KL Rahul,5,7,1,0,71.43,0,0,0,0,0,0.00,1,0,0,0,CSK,Yes
Punjab Kings,1,Mayank Agarwal,0,2,0,0,0.00,0,0,0,0,0,0.00,0,0,0,0,CSK,Yes
Punjab Kings,1,Chris Gayle,10,10,2,0,100.00,0,0,0,0,0,0.00,0,0,0,0,CSK,Yes
Punjab Kings,1,Deepak Hooda,10,15,1,0,66.67,0,0,0,0,0,0.00,1,0,0,0,CSK,Yes
Punjab Kings,1,Nicholas Pooran,0,2,0,0,0.00,0,0,0,0,0,0.00,1,0,0,0,CSK,Yes
Punjab Kings,1,Shahrukh Khan,47,36,4,2,130.56,0,0,0,0,0,0.00,1,0,0,0,CSK,Yes
Punjab Kings,1,Jhye Richardson,15,22,2,0,68.18,3,18,0,21,0,7.00,0,0,0,0,CSK,Yes
Punjab Kings,1,Murugan Ashwin,6,14,0,0,42.86,3,18,0,32,1,10.67,0,0,0,0,CSK,Yes
Punjab Kings,1,Riley Meredith,0,0,0,0,0.00,3.4,22,0,21,0,6.18,0,0,0,0,CSK,No
Punjab Kings,1,Mohammed Shami,9,12,0,0,75.00,4,24,0,21,2,5.25,0,0,0,0,CSK,No
Punjab Kings,1,Arshdeep Singh,0,0,0,0,0.00,2,12,0,7,1,3.50,0,0,0,0,CSK,No
Chennai Super Kings,1,Rituraj Gaikwad,5,16,0,0,31.25,0,0,0,0,0,0.00,0,0,0,0,PBKS,Yes
Chennai Super Kings,1,du Plessis,36,33,3,1,109.09,0,0,0,0,0,0.00,2,0,0,0,PBKS,No
Chennai Super Kings,1,Moeen Ali,46,31,7,1,148.39,3,18,0,17,1,5.67,0,0,0,0,PBKS,Yes
Chennai Super Kings,1,Suresh Raina,8,9,1,0,88.89,0,0,0,0,0,0.00,0,0,0,0,PBKS,Yes
Chennai Super Kings,1,Ambati Rayudu,0,1,0,0,0.00,0,0,0,0,0,0.00,0,0,0,0,PBKS,Yes
Chennai Super Kings,1,Ravindra Jadeja,0,0,0,0,0.00,4,24,0,19,0,4.75,2,1,0,0,PBKS,No
Chennai Super Kings,1,Dhoni,0,0,0,0,0.00,0,0,0,0,0,0.00,0,0,0,0,PBKS,No
Chennai Super Kings,1,Sam Curran,5,4,1,0,125.00,3,18,0,12,1,4.00,0,0,0,0,PBKS,No
Chennai Super Kings,1,DJ Bravo,0,0,0,0,0.00,2,12,0,10,1,5.00,0,0,0,0,PBKS,No
Chennai Super Kings,1,Shardul Thakur,0,0,0,0,0.00,4,24,0,35,0,8.75,1,0,0,0,PBKS,No
Chennai Super Kings,1,Deepak Chahar,0,0,0,0,0.00,4,24,1,13,4,3.25,0,0,0,0,PBKS,No
