Team,Match Played,Players,Batsman Runs,Balls,Fours,Sixes,Strike Rate,Over,Bowler Balls,Maiden,Bowler Runs,Wickets,Economy Rate,Catches,Run Out,50s,100s,Vs,Times Out
Mumbai Indians,1,Rohit Sharma,32,25,2,2,128.00,0,0,0,0,0,0,0,0,0,0,SRH,Yes
Mumbai Indians,1,Quinton de Kock,40,39,5,0,102.56,0,0,0,0,0,0,0,0,0,0,SRH,Yes
Mumbai Indians,1,Suryakumar Yadav,10,6,1,1,166.67,0,0,0,0,0,0,2,0,0,0,SRH,Yes
Mumbai Indians,1,Ishan Kishan,12,21,0,0,57.14,0,0,0,0,0,0,0,0,0,0,SRH,Yes
Mumbai Indians,1,Hardik Pandya,7,5,1,0,140.00,0,0,0,0,0,0,0,2,0,0,SRH,Yes
Mumbai Indians,1,Kieron Pollard,35,22,1,3,159.09,2,12,0,10,0,5,1,0,0,0,SRH,No
Mumbai Indians,1,Krunal Pandya,3,3,0,0,100.00,3,18,0,30,1,10,0,1,0,0,SRH,No
Mumbai Indians,1,Adam Milne,0,0,0,0,0.00,3,18,0,33,0,11,1,0,0,0,SRH,No
Mumbai Indians,1,Rahul Chahar,0,0,0,0,0.00,4,24,0,19,3,4.75,0,0,0,0,SRH,No
Mumbai Indians,1,Jasprit Bumrah,0,0,0,0,0.00,4,24,0,14,1,3.5,0,0,0,0,SRH,No
Mumbai Indians,1,Trent Boult,0,0,0,0,0.00,3.4,22,0,28,3,8.24,0,0,0,0,SRH,No
Sunrisers Hyderabad,1,Jonny Bairstow,43,22,3,4,195.45,0,0,0,0,0,0,1,0,0,0,MI,Yes
Sunrisers Hyderabad,1,David Warner,36,34,2,2,105.88,0,0,0,0,0,0,0,0,0,0,MI,Yes
Sunrisers Hyderabad,1,Manish Pandey,2,7,0,0,28.57,0,0,0,0,0,0,0,0,0,0,MI,Yes
Sunrisers Hyderabad,1,Virat Singh,11,12,1,0,91.67,0,0,0,0,0,0,2,0,0,0,MI,Yes
Sunrisers Hyderabad,1,Vijay Shankar,28,25,0,2,112.00,3,18,0,19,2,6.33,1,0,0,0,MI,Yes
Sunrisers Hyderabad,1,Abhishek Sharma,2,4,0,0,50.00,1,6,0,5,0,5,0,0,0,0,MI,Yes
Sunrisers Hyderabad,1,Abdul Samad,7,8,1,0,87.50,0,0,0,0,0,0,0,0,0,0,MI,Yes
Sunrisers Hyderabad,1,Rashid Khan,0,1,0,0,0.00,4,24,0,22,0,5.5,0,0,0,0,MI,Yes
Sunrisers Hyderabad,1,Bhuvneshwar Kumar,1,2,0,0,50.00,4,24,0,45,0,11.25,0,0,0,0,MI,Yes
Sunrisers Hyderabad,1,Mujeeb Ur Rahman,1,1,0,0,100.00,4,24,0,29,2,7.25,0,0,0,0,MI,No
Sunrisers Hyderabad,1,Khaleel Ahmed,1,2,0,0,50.00,4,24,0,24,1,6,0,0,0,0,MI,Yes
Sunrisers Hyderabad,0,J Suchith,0,0,0,0,0.00,0,0,0,0,0,0,1,0,0,0,MI,No
